Economy_Label,2025_Number_of_ships_Value,2025_Number_of_ships_MissingValue
"Africa",10620,
"Northern Africa",849,
"Sub-Saharan Africa",9771,
"Eastern Africa",1197,
"Middle Africa",569,
"Southern Africa",146,
"Western Africa",7859,
"Americas",21718,
"Northern America",4356,
"Latin America and the Caribbean",17362,
"Caribbean",4366,
"Central America",10576,
"South America",2420,
"Asia",53323,
"Central Asia",199,
"Eastern Asia",21272,
"South-eastern Asia",23545,
"Southern Asia",3808,
"Western Asia",4499,
"Europe",17694,
"Eastern Europe",3798,
"Northern Europe",4557,
"Southern Europe",6623,
"Western Europe",2716,
"Oceania",6968,
"Australia and New Zealand",751,
"Oceania excluding Australia and New Zealand",6217,
"Albania",70,
"Algeria",118,
"Angola",66,
"Anguilla",1,
"Antigua and Barbuda",676,
"Argentina",197,
"Aruba",1,
"Australia",631,
"Austria",1,
"Azerbaijan",320,
"Bahamas",1251,
"Bahrain",159,
"Bangladesh",611,
"Barbados",491,
"Belarus",4,
"Belgium",184,
"Belize",769,
"Benin",11,
"Bermuda",114,
"Bolivia (Plurinational State of)",54,
"Bosnia and Herzegovina",1,
"Brazil",926,
"British Virgin Islands",25,
"Brunei Darussalam",96,
"Bulgaria",76,
"Cabo Verde",42,
"Cambodia",183,
"Cameroon",240,
"Canada",711,
"Cayman Islands",116,
"Chile",242,
"China",10288,
"China, Hong Kong SAR",2513,
"China, Macao SAR",7,
"China, Taiwan Province of",460,
"Colombia",156,
"Comoros",432,
"Congo",10,
"Cook Islands",175,
"Costa Rica",11,
"Cote d'Ivoire",26,
"Croatia",397,
"Cuba",68,
"Curacao",75,
"Cyprus",1032,
"Czechia",1,
"Czechoslovakia",,"Not applicable"
"Dem. People's Rep. of Korea",289,
"Dem. Rep. of the Congo",25,
"Democratic Republic of Germany",,"Not applicable"
"Denmark",686,
"Djibouti",42,
"Dominica",74,
"Dominican Republic",41,
"Ecuador",153,
"Egypt",453,
"El Salvador",6,
"Equatorial Guinea",40,
"Eritrea",10,
"Estonia",69,
"Eswatini",17,
"Ethiopia",11,
"Ethiopia (...1991)",,"Not applicable"
"Falkland Islands (Malvinas)",2,
"Faroe Islands",91,
"Federal Republic of Germany",,"Not applicable"
"Fiji",83,
"Finland",279,
"France",559,
"French Polynesia",28,
"French Southern Territories",3,
"Gabon",119,
"Gambia",37,
"Georgia",28,
"Germany",602,
"Ghana",51,
"Gibraltar",96,
"Greece",1203,
"Greenland",12,
"Grenada",6,
"Guam",3,
"Guatemala",13,
"Guinea",30,
"Guinea-Bissau",74,
"Guyana",123,
"Haiti",2,
"Honduras",501,
"Iceland",39,
"India",1928,
"Indonesia",13218,
"Indonesia (...2002)",,"Not applicable"
"Iran (Islamic Republic of)",1021,
"Iraq",76,
"Ireland",97,
"Isle of Man",257,
"Israel",35,
"Italy",1212,
"Jamaica",45,
"Japan",5200,
"Jordan",34,
"Kazakhstan",122,
"Kenya",27,
"Kiribati",76,
"Kuwait",177,
"Lao People's Dem. Rep.",1,
"Latvia",91,
"Lebanon",46,
"Lesotho",1,
"Liberia",5562,
"Libya",92,
"Lithuania",61,
"Luxembourg",152,
"Madagascar",31,
"Malaysia",1813,
"Maldives",92,
"Malta",1949,
"Marshall Islands",4254,
"Mauritania",12,
"Mauritius",32,
"Mexico",699,
"Micronesia (Federated States of)",34,
"Monaco",3,
"Mongolia",358,
"Montenegro",17,
"Morocco",97,
"Mozambique",40,
"Myanmar",118,
"Namibia",17,
"Nauru",14,
"Netherlands (Kingdom of the)",1200,
"Netherlands Antilles",,"Not applicable"
"New Caledonia",20,
"New Zealand",120,
"Nicaragua",5,
"Niger",1,
"Nigeria",1005,
"Niue",77,
"North Macedonia",2,
"Northern Mariana Islands",1,
"Norway",1731,
"Oman",50,
"Pakistan",61,
"Palau",565,
"Panama",8572,
"Panama, excluding Canal Zone",,"Not applicable"
"Papua New Guinea",224,
"Paraguay",106,
"Peru",114,
"Philippines",2229,
"Poland",162,
"Portugal",1131,
"Puerto Rico",1,
"Qatar",116,
"Republic of Korea",2157,
"Republic of Moldova",37,
"Reunion",11,
"Romania",127,
"Russian Federation",3007,
"Saint Kitts and Nevis",568,
"Saint Vincent and the Grenadines",820,
"Samoa",13,
"San Marino",55,
"Sao Tome and Principe",69,
"Saudi Arabia",482,
"Senegal",37,
"Serbia and Montenegro",,"Not applicable"
"Seychelles",29,
"Sierra Leone",616,
"Singapore",3098,
"Slovakia",1,
"Slovenia",7,
"Solomon Islands",32,
"Somalia",4,
"South Africa",111,
"Spain",483,
"Sri Lanka",95,
"Sudan",16,
"Sudan (...2011)",,"Not applicable"
"Suriname",14,
"Sweden",362,
"Switzerland",15,
"Syrian Arab Republic",18,
"Thailand",868,
"Timor-Leste",2,
"Togo",355,
"Tonga",27,
"Trinidad and Tobago",99,
"Tunisia",73,
"Turkiye",1220,
"Turkmenistan",77,
"Turks and Caicos Islands",3,
"Tuvalu",285,
"Ukraine",383,
"Union of Soviet Socialist Republics",,"Not applicable"
"United Arab Emirates",676,
"United Kingdom",794,
"United Republic of Tanzania",524,
"United States",3519,
"United States Virgin Islands",3,
"Uruguay",61,
"Vanuatu",295,
"Venezuela (Bolivarian Rep. of)",272,
"Viet Nam",1919,
"Wallis and Futuna Islands",11,
"Yemen",30,
"Yemen, Arab Republic",,"Not applicable"
"Yemen, Democratic",,"Not applicable"
"Yugoslavia, Soc. Fed. Rep. of",,"Not applicable"
"Zambia",1,
