flag,flag_key,accident_count,avg_severity_risk,avg_ship_type_risk
Albania,albania,2,1.0,0.3790322580645161
Angola,angola,1,0.65,0.21774193548387097
Anguilla,anguilla,1,1.0,0.21774193548387097
Antigua and Barbuda,antigua and barbuda,21,0.8452380952380952,0.5504992319508449
Argentina,argentina,40,0.9387499999999998,0.35090725806451617
Australia,australia,7,0.5857142857142856,0.1802995391705069
Azerbaijan,azerbaijan,6,0.44166666666666665,0.3911290322580645
Bahamas,bahamas,41,0.9378048780487804,0.4454169944925256
Bangladesh,bangladesh,5,0.71,0.4903225806451613
Barbados,barbados,7,0.8500000000000002,0.6307603686635945
Belgium,belgium,12,0.6791666666666668,0.28998655913978494
Belize,belize,9,1.0,0.4887992831541218
Bermuda,bermuda,5,0.78,0.2806451612903226
Bolivia,bolivia,1,1.0,0.842741935483871
Brazil,brazil,4,0.725,0.0655241935483871
Bulgaria,bulgaria,2,0.825,0.780241935483871
Cameroon,cameroon,3,0.8833333333333333,0.842741935483871
Canada,canada,9,0.5111111111111111,0.3467741935483871
Cayman Islands,cayman islands,3,0.8833333333333333,0.728494623655914
China,china,27,0.9203703703703703,0.3991935483870968
Comoros,comoros,15,0.9533333333333334,0.5551075268817204
Cook Islands,cook islands,3,1.0,0.12096774193548386
Croatia,croatia,14,0.85,0.30587557603686644
Cyprus,cyprus,21,0.9166666666666666,0.4003456221198157
Denmark,dis,2,1.0,0.3346774193548387
North Korea,democratic people s republic of korea,6,1.0,0.842741935483871
Denmark,denmark,29,0.8534482758620687,0.4003058954393771
Djibouti,djibouti,1,0.65,0.3346774193548387
Dominica,dominica,1,1.0,0.008064516129032258
Ecuador,ecuador,10,0.9650000000000001,0.2991935483870968
Egypt,egypt,2,1.0,0.05645161290322581
Estonia,estonia,3,0.5166666666666667,0.061827956989247305
Ethiopia,ethiopia,1,1.0,0.842741935483871
Falkland Islands [Islas Malvinas],falkland islands malvinas,1,0.25,0.024193548387096774
Faroe Islands,faroes,3,0.75,0.717741935483871
Finland,finland,5,0.6399999999999999,0.21693548387096775
France,france,47,0.9170212765957445,0.49631091283459183
Gabon,gabon,4,1.0,0.3548387096774194
Germany,germany,20,0.6725000000000001,0.280241935483871
Gibraltar,gibraltar,13,0.6038461538461539,0.39485111662531014
Greece,greece,5,0.85,0.3782258064516129
Greenland,greenland,1,1.0,0.717741935483871
Guernsey,guernsey,1,0.65,0.21774193548387097
Guinea-Bissau,guinea bissau,4,0.825,0.8508064516129032
Honduras,honduras,5,1.0,0.5016129032258064
Hong Kong,hong kong,65,0.87,0.6668114143920597
Iceland,iceland,1,0.65,0.008064516129032258
India,india,23,0.8869565217391304,0.418302945301543
Indonesia,indonesia,21,0.9833333333333333,0.4855990783410139
Iran,iran,6,0.75,0.3911290322580645
Iraq,iraq,2,0.25,0.3346774193548387
Ireland,ireland,12,0.6083333333333334,0.6350806451612904
Isle of Man,isle of man,9,0.9611111111111111,0.5730286738351255
Israel,israel,1,1.0,0.10887096774193548
Italy,italy,16,0.95625,0.25655241935483875
Jamaica,jamaica,1,0.25,0.21774193548387097
Japan,japan,9,0.7944444444444445,0.24910394265232982
Jordan,jordan,1,1.0,0.008064516129032258
Kazakhstan,kazakhstan,1,1.0,0.008064516129032258
Kuwait,kuwait,6,0.5083333333333333,0.25
Latvia,latvia,4,0.9125,0.780241935483871
Liberia,liberia,113,0.8433628318584074,0.5765415358264344
Lithuania,lithuania,2,0.825,0.08870967741935483
Luxembourg,luxembourg,1,0.65,0.04032258064516129
Portugal,mar,8,0.76875,0.26260080645161293
