flag,flag_key,fleet_size,accident_count,accident_rate,accident_rate_norm,avg_severity_risk,severity_risk_norm,avg_ship_type_risk,ship_type_risk_norm,paris_mou_category,paris_rank,paris_inspections_2022_2024,paris_detentions_2022_2024,paris_excess_factor,flag_safety_risk,flag_safety_risk_norm,risk_score
Cameroon,cameroon,240,3,0.0125,0.0125,0.8833333333333333,0.8833333333333333,0.842741935483871,0.842741935483871,black,69,144,43,6.56,1.0,1.0,0.684643817204301
Guinea-Bissau,guinea bissau,74,4,0.05405405405405406,0.05405405405405406,0.825,0.825,0.8508064516129032,0.8508064516129032,black,61,51,9,1.94,1.0,1.0,0.6824651264167393
Anguilla,anguilla,1,1,1.0,1.0,1.0,1.0,0.21774193548387097,0.21774193548387097,unlisted,,,,,0.5,0.5,0.6794354838709677
Comoros,comoros,432,15,0.034722222222222224,0.034722222222222224,0.9533333333333334,0.9533333333333334,0.5551075268817204,0.5551075268817204,black,65,258,48,3.59,1.0,1.0,0.635790770609319
Palau,palau,565,18,0.03185840707964602,0.03185840707964602,0.8777777777777778,0.8777777777777778,0.6211917562724014,0.6211917562724014,black,60,489,55,1.67,1.0,1.0,0.6327069852824563
Vanuatu,vanuatu,295,9,0.030508474576271188,0.030508474576271188,0.8,0.8,0.6890681003584229,0.6890681003584229,black,63,357,52,2.55,1.0,1.0,0.6298941437336736
Togo,togo,355,10,0.028169014084507043,0.028169014084507043,0.8150000000000001,0.8150000000000001,0.6689516129032259,0.6689516129032259,black,59,273,32,1.58,1.0,1.0,0.6280301567469333
Sri Lanka,sri lanka,95,1,0.010526315789473684,0.010526315789473684,1.0,1.0,1.0,1.0,unlisted,,,,,0.5,0.5,0.6276315789473684
Belize,belize,769,9,0.011703511053315995,0.011703511053315995,1.0,1.0,0.4887992831541218,0.4887992831541218,black,62,220,32,2.29,1.0,1.0,0.6251256985518594
Bolivia,bolivia,54,1,0.018518518518518517,0.018518518518518517,1.0,1.0,0.842741935483871,0.842741935483871,unlisted,,,,,0.5,0.5,0.5903151135005974
North Korea,democratic people s republic of korea,0,6,0.0,0.0,1.0,1.0,0.842741935483871,0.842741935483871,unlisted,,,,,0.5,0.5,0.5856854838709677
Ethiopia,ethiopia,0,1,0.0,0.0,1.0,1.0,0.842741935483871,0.842741935483871,unlisted,,,,,0.5,0.5,0.5856854838709677
Greenland,greenland,12,1,0.08333333333333333,0.08333333333333333,1.0,1.0,0.717741935483871,0.717741935483871,unlisted,,,,,0.5,0.5,0.575268817204301
Latvia,latvia,91,4,0.04395604395604396,0.04395604395604396,0.9125,0.9125,0.780241935483871,0.780241935483871,grey,44,162,7,0.13,0.5,0.5,0.5591744948599787
South Africa,south africa,111,1,0.009009009009009009,0.009009009009009009,1.0,1.0,0.717741935483871,0.717741935483871,unlisted,,,,,0.5,0.5,0.55668773612322
St. Helena,st. helena,0,1,0.0,0.0,1.0,1.0,0.717741935483871,0.717741935483871,unlisted,,,,,0.5,0.5,0.5544354838709677
Nauru,nauru,14,2,0.14285714285714285,0.14285714285714285,0.825,0.825,0.717741935483871,0.717741935483871,unlisted,,,,,0.5,0.5,0.5463997695852534
St. Kitts and Nevis,st. kitts and nevis,568,8,0.014084507042253521,0.014084507042253521,0.7749999999999999,0.7749999999999999,0.3876008064516129,0.3876008064516129,black,58,269,29,1.3,1.0,1.0,0.5441713283734666
Vietnam,vietnam,1919,11,0.005732152162584679,0.005732152162584679,0.9,0.9,0.2686950146627566,0.2686950146627566,black,66,43,12,4.42,1.0,1.0,0.5436067917063353
Bulgaria,bulgaria,76,2,0.02631578947368421,0.02631578947368421,0.825,0.825,0.780241935483871,0.780241935483871,unlisted,,,,,0.5,0.5,0.5328894312393888
Tanzania,zanzibar,0,8,0.0,0.0,1.0,1.0,0.5221774193548386,0.5221774193548386,unlisted,,,,,0.5,0.5,0.5055443548387096
Honduras,honduras,501,5,0.00998003992015968,0.00998003992015968,1.0,1.0,0.5016129032258064,0.5016129032258064,unlisted,,,,,0.5,0.5,0.5028982357864915
Argentina,argentina,197,40,0.20304568527918782,0.20304568527918782,0.9387499999999998,0.9387499999999998,0.35090725806451617,0.35090725806451617,unlisted,,,,,0.5,0.5,0.4981757358359259
Peru,peru,114,5,0.043859649122807015,0.043859649122807015,1.0,1.0,0.4403225806451613,0.4403225806451613,unlisted,,,,,0.5,0.5,0.4960455574419921
Indonesia,indonesia,0,21,0.0,0.0,0.9833333333333333,0.9833333333333333,0.4855990783410139,0.4855990783410139,unlisted,,,,,0.5,0.5,0.4922331029185868
Faroe Islands,faroes,0,3,0.0,0.0,0.75,0.75,0.717741935483871,0.717741935483871,unlisted,,,,,0.5,0.5,0.49193548387096775
Mexico,mexico,699,5,0.00715307582260372,0.00715307582260372,1.0,1.0,0.45,0.45,unlisted,,,,,0.5,0.5,0.4892882689556509
St. Vincent and Grenadines,st. vincent and the grenadines,820,4,0.004878048780487805,0.004878048780487805,0.725,0.725,0.6905241935483871,0.6905241935483871,grey,54,246,19,0.63,0.5,0.5,0.4801005605822187
Panama,panama,8572,216,0.025198320111992533,0.025198320111992533,0.8076388888888901,0.8076388888888901,0.5779943249701318,0.5779943249701318,grey,48,5854,390,0.2,0.5,0.5,0.4777078834927536
Albania,albania,70,2,0.02857142857142857,0.02857142857142857,1.0,1.0,0.3790322580645161,0.3790322580645161,grey,52,58,4,0.49,0.5,0.5,0.4769009216589861
Gabon,gabon,119,4,0.03361344537815126,0.03361344537815126,1.0,1.0,0.3548387096774194,0.3548387096774194,unlisted,,,,,0.5,0.5,0.47211303876389266
South Korea,south korea,2157,24,0.011126564673157162,0.011126564673157162,0.9854166666666666,0.9854166666666666,0.38524865591397855,0.38524865591397855,grey,45,178,8,0.13,0.5,0.5,0.4704479718134506
Denmark,dis,0,2,0.0,0.0,1.0,1.0,0.3346774193548387,0.3346774193548387,unlisted,,,,,0.5,0.5,0.4586693548387097
Ecuador,ecuador,153,10,0.06535947712418301,0.06535947712418301,0.9650000000000001,0.9650000000000001,0.2991935483870968,0.2991935483870968,unlisted,,,,,0.5,0.5,0.45738825637782
India,india,1928,23,0.011929460580912862,0.011929460580912862,0.8869565217391304,0.8869565217391304,0.418302945301543,0.418302945301543,grey,43,55,1,0.11,0.5,0.5,0.45429723190539656
Niue,niue,77,2,0.025974025974025976,0.025974025974025976,0.825,0.825,0.4375,0.4375,unlisted,,,,,0.5,0.5,0.4471185064935065
Myanmar [Burma],myanmar,118,4,0.03389830508474576,0.03389830508474576,0.825,0.825,0.4254032258064516,0.4254032258064516,unlisted,,,,,0.5,0.5,0.44607538272279934
Russia,russia,3007,30,0.009976720984369804,0.009976720984369804,0.8949999999999998,0.8949999999999998,0.36572580645161296,0.36572580645161296,grey,47,265,14,0.19,0.5,0.5,0.44267563185899567
Solomon Islands,solomon islands,32,1,0.03125,0.03125,1.0,1.0,0.21774193548387097,0.21774193548387097,unlisted,,,,,0.5,0.5,0.43724798387096775
Syria,syrian arab republic,18,1,0.05555555555555555,0.05555555555555555,0.65,0.65,0.532258064516129,0.532258064516129,unlisted,,,,,0.5,0.5,0.4344534050179212
Mauritius,mauritius,32,2,0.0625,0.0625,1.0,1.0,0.17338709677419353,0.17338709677419353,unlisted,,,,,0.5,0.5,0.4339717741935484
Sierra Leone,sierra leone,616,4,0.006493506493506494,0.006493506493506494,0.9125,0.9125,0.30745967741935487,0.30745967741935487,grey,55,173,14,0.66,0.5,0.5,0.4316132959782153
Philippines,philippines,2229,18,0.008075370121130552,0.008075370121130552,0.9388888888888888,0.9388888888888888,0.2744175627240144,0.2744175627240144,grey,51,105,7,0.46,0.5,0.5,0.43034545543350844
Malaysia,malaysia,1813,11,0.006067291781577496,0.006067291781577496,1.0,1.0,0.21334310850439886,0.21334310850439886,unlisted,,,,,0.5,0.5,0.42985260007149406
Wallis and Futuna,wallis and futuna,0,1,0.0,0.0,1.0,1.0,0.21774193548387097,0.21774193548387097,unlisted,,,,,0.5,0.5,0.42943548387096775
Bangladesh,bangladesh,611,5,0.008183306055646482,0.008183306055646482,0.71,0.71,0.4903225806451613,0.4903225806451613,grey,57,43,5,0.81,0.5,0.5,0.4271264716752019
Croatia,croatia,397,14,0.03526448362720403,0.03526448362720403,0.85,0.85,0.30587557603686644,0.30587557603686644,grey,42,92,2,0.01,0.5,0.5,0.4227850149160176
United Arab Emirates,united arab emirates,676,1,0.0014792899408284023,0.0014792899408284023,1.0,1.0,0.14919354838709678,0.14919354838709678,unlisted,,,,,0.5,0.5,0.4126682095819813
Iran,iran,1021,6,0.005876591576885406,0.005876591576885406,0.75,0.75,0.3911290322580645,0.3911290322580645,unlisted,,,,,0.5,0.5,0.4117514059587375
Cook Islands,cook islands,175,3,0.017142857142857144,0.017142857142857144,1.0,1.0,0.12096774193548386,0.12096774193548386,grey,50,81,5,0.42,0.5,0.5,0.4095276497695852
Cayman Islands,cayman islands,116,3,0.02586206896551724,0.02586206896551724,0.8833333333333333,0.8833333333333333,0.728494623655914,0.728494623655914,white,6,318,3,-1.52,0.0,0.0,0.40942250648869116
Israel,israel,35,1,0.02857142857142857,0.02857142857142857,1.0,1.0,0.10887096774193548,0.10887096774193548,unlisted,,,,,0.5,0.5,0.409360599078341
Tuvalu,tuvalu,285,2,0.007017543859649123,0.007017543859649123,1.0,1.0,0.08870967741935483,0.08870967741935483,unlisted,,,,,0.5,0.5,0.398931805319751
Mongolia,mongolia,358,2,0.00558659217877095,0.00558659217877095,0.625,0.625,0.4576612903225807,0.4576612903225807,unlisted,,,,,0.5,0.5,0.39706197062533793
Nigeria,nigeria,1005,27,0.026865671641791045,0.026865671641791045,0.8925925925925926,0.8925925925925926,0.15277777777777782,0.15277777777777782,unlisted,,,,,0.5,0.5,0.3930590105030404
Tunisia,tunisia,73,1,0.0136986301369863,0.0136986301369863,1.0,1.0,0.056451612903225805,0.056451612903225805,grey,56,30,3,0.66,0.5,0.5,0.39253756076005303
Isle of Man,isle of man,257,9,0.03501945525291829,0.03501945525291829,0.9611111111111111,0.9611111111111111,0.5730286738351255,0.5730286738351255,white,25,354,9,-0.84,0.0,0.0,0.3922898100497887
New Zealand,new zealand,120,8,0.06666666666666667,0.06666666666666667,0.675,0.675,0.30997983870967744,0.30997983870967744,unlisted,,,,,0.5,0.5,0.38791162634408605
Norway,nis,0,3,0.0,0.0,0.6333333333333333,0.6333333333333333,0.4059139784946237,0.4059139784946237,unlisted,,,,,0.5,0.5,0.38481182795698926
Jordan,jordan,34,1,0.029411764705882353,0.029411764705882353,1.0,1.0,0.008064516129032258,0.008064516129032258,unlisted,,,,,0.5,0.5,0.3843690702087286
Hong Kong,hong kong,0,65,0.0,0.0,0.87,0.87,0.6668114143920597,0.6668114143920597,white,11,1596,34,-1.4,0.0,0.0,0.3842028535980149
