year,category,rank,flag,inspections,detentions,black_to_grey_limit,grey_to_white_limit,excess_factor,flag_safety_risk
2010,black,,North Korea,45,17,6,,7.31,1.0
2010,black,,Libya,47,14,7,,5.09,1.0
2010,black,,Togo,150,37,16,,5.02,1.0
2010,black,,Sierra Leone,570,114,50,,4.44,1.0
2010,black,,Montenegro,34,10,5,,4.43,1.0
2010,black,,Albania,222,44,22,,3.86,1.0
2010,black,,Moldova,461,77,42,,3.31,1.0
2010,black,,Cambodia,863,135,73,,3.22,1.0
2010,black,,St. Kitts and Nevis,488,76,44,,2.99,1.0
2010,black,,Comoros to,644,98,56,,2.99,1.0
2010,black,,Georgia,776,106,67,,2.57,1.0
2010,black,,Bolivia,40,8,6,,2.24,1.0
2010,black,,Lebanon,72,12,9,,2.04,1.0
2010,black,,Syria,246,33,24,,2.02,1.0
2010,black,,Tanzania,65,10,8,,1.62,1.0
2010,black,,Ukraine,471,50,43,,1.47,1.0
2010,black,,St. Vincent and Grenadines,1957,168,156,,1.19,1.0
2010,black,,Azerbaijan,69,9,9,,1.07,1.0
2010,grey,,Egypt,112,12,13,3,0.92,0.5
2010,grey,,Cook Islands,150,15,16,5,0.9,0.5
2010,grey,,Vietnam,37,5,6,0,0.89,0.5
2010,grey,,Dominica,167,16,18,6,0.86,0.5
2010,grey,,Algeria,98,10,12,2,0.84,0.5
2010,grey,,Slovakia,234,21,23,9,0.83,0.5
2010,grey,,Honduras,65,7,8,1,0.82,0.5
2010,grey,,Tunisia,57,6,8,0,0.77,0.5
2010,grey,,Jamaica,48,5,7,0,0.74,0.5
2010,grey,,Mongolia,43,4,6,0,0.65,0.5
2010,grey,,Tuvalu,36,3,6,0,0.58,0.5
2010,grey,,Morocco,153,11,16,5,0.53,0.5
2010,grey,,Saudi Arabia,62,3,8,1,0.32,0.5
2010,grey,,Bulgaria,230,13,23,9,0.27,0.5
2010,grey,,Belize,660,40,57,35,0.23,0.5
2010,grey,,Curacao,599,35,53,31,0.18,0.5
2010,grey,,Malaysia,74,2,9,1,0.11,0.5
2010,grey,,Switzerland,94,3,11,2,0.11,0.5
2010,grey,,Faroe Islands,157,6,17,5,0.07,0.5
2010,grey,,Vanuatu,177,7,18,6,0.06,0.5
2010,grey,,Latvia,144,5,16,5,0.04,0.5
2010,grey,,Iran,146,5,16,5,0.03,0.5
2010,grey,,Thailand,128,4,14,4,0.03,0.5
2010,grey,,United States,128,4,14,4,0.03,0.5
2010,white,,Kazakhstan,30,0,5,0,0.0,0.0
2010,white,,Qatar,30,0,5,0,0.0,0.0
2010,white,,Philippines,231,8,23,9,-0.24,0.0
2010,white,,Panama,8385,476,626,548,-0.3,0.0
2010,white,,South Korea,201,6,21,8,-0.35,0.0
2010,white,,India,138,3,15,4,-0.41,0.0
2010,white,,Japan,89,1,11,2,-0.44,0.0
2010,white,,Turkey,2294,108,181,140,-0.5,0.0
2010,white,,Lithuania,227,6,23,9,-0.57,0.0
2010,white,,Spain,278,8,27,12,-0.59,0.0
2010,white,,Russia,1965,80,157,118,-0.7,0.0
2010,white,,Barbados,527,15,47,27,-0.87,0.0
2010,white,,Cayman Islands,286,6,28,12,-0.93,0.0
2010,white,,Antigua and Barbuda,5235,195,397,336,-0.94,0.0
2010,white,,Luxembourg,196,3,20,7,-0.96,0.0
2010,white,,Malta,5569,200,422,358,-0.99,0.0
2010,white,,Poland,202,3,21,8,-1.0,0.0
2010,white,,Portugal,542,13,48,28,-1.05,0.0
2010,white,,Croatia,178,2,19,6,-1.1,0.0
2010,white,,Liberia,4461,132,341,284,-1.2,0.0
2010,white,,Cyprus,2694,76,211,166,-1.2,0.0
2010,white,,Estonia,104,0,12,2,-1.25,0.0
2010,white,,Gibraltar,1301,29,107,75,-1.33,0.0
2010,white,,Belgium,231,2,23,9,-1.41,0.0
2010,white,,Norway,2323,51,183,142,-1.42,0.0
2010,white,,Marshall Islands,2260,49,179,138,-1.42,0.0
2010,white,,Ireland,182,1,19,7,-1.43,0.0
2010,white,,Bahamas,3628,75,280,228,-1.51,0.0
2010,white,,Singapore,1375,24,112,80,-1.52,0.0
2010,white,,Hong Kong,1422,22,116,83,-1.61,0.0
2010,white,,Greece,1475,22,120,87,-1.63,0.0
2010,white,,Italy,1487,22,121,87,-1.64,0.0
2010,white,,Isle of Man,883,11,75,49,-1.65,0.0
2010,white,,China,250,1,25,10,-1.68,0.0
2010,white,,Finland,624,6,55,33,-1.71,0.0
2010,white,,Denmark,1385,17,113,81,-1.73,0.0
2010,white,,France,355,2,33,16,-1.73,0.0
2010,white,,Netherlands,3860,54,297,244,-1.75,0.0
2010,white,,United Kingdom,2007,25,160,121,-1.76,0.0
2010,white,,Sweden,984,9,83,55,-1.8,0.0
2010,white,,Germany,1388,14,113,81,-1.81,0.0
2010,white,,Bermuda,270,0,26,12,-1.91,0.0
2011,white,,Germany,1335,10,109,78,-1.91,0.0
2011,white,,Sweden,810,5,69,44,-1.9,0.0
2011,white,,Denmark,1376,15,112,80,-1.78,0.0
2011,white,,Netherlands,3691,49,284,232,-1.78,0.0
2011,white,,United Kingdom,1905,25,152,115,-1.73,0.0
2011,white,,France,337,2,32,15,-1.7,0.0
2011,white,,Hong Kong,1489,20,121,88,-1.69,0.0
2011,white,,Singapore,1370,19,112,80,-1.66,0.0
2011,white,,Italy,1471,21,120,86,-1.66,0.0
2011,white,,Greece,1334,19,109,78,-1.65,0.0
2011,white,,Finland,562,6,50,29,-1.64,0.0
2011,white,,Croatia,153,0,16,5,-1.62,0.0
2011,white,,Isle of Man,828,12,71,45,-1.56,0.0
2011,white,,Bahamas,3265,67,253,204,-1.5,0.0
2011,white,,Norway,2023,40,161,122,-1.48,0.0
2011,white,,Poland,189,1,20,7,-1.47,0.0
2011,white,,Belgium,233,2,23,9,-1.42,0.0
2011,white,,Liberia,4270,105,327,271,-1.38,0.0
2011,white,,Bermuda,270,3,26,12,-1.36,0.0
2011,white,,Cyprus,2422,59,191,148,-1.33,0.0
2011,white,,Ireland,165,1,17,6,-1.33,0.0
2011,white,,Gibraltar,1208,27,100,69,-1.31,0.0
2011,white,,Spain,257,3,25,11,-1.31,0.0
2011,white,,Marshall Islands,2361,59,186,144,-1.31,0.0
2011,white,,China,241,3,24,10,-1.24,0.0
2011,white,,South Korea,141,1,15,4,-1.13,0.0
2011,white,,Estonia,89,0,11,2,-1.02,0.0
2011,white,,Malta,5301,186,402,340,-1.01,0.0
2011,white,,Barbados,463,11,42,23,-1.01,0.0
2011,white,,Luxembourg,195,3,20,7,-0.96,0.0
2011,white,,Cayman Islands,282,6,27,12,-0.91,0.0
2011,white,,Russia,1644,60,133,98,-0.83,0.0
2011,white,,Antigua and Barbuda,4767,196,363,304,-0.79,0.0
2011,white,,Portugal,496,15,45,25,-0.78,0.0
2011,white,,Philippines,250,6,25,10,-0.73,0.0
2011,white,,Panama,7611,345,570,496,-0.69,0.0
2011,white,,Lithuania,216,5,22,8,-0.68,0.0
2011,white,,Turkey,2107,96,167,128,-0.54,0.0
2011,white,,Faroe Islands,193,5,20,7,-0.49,0.0
2011,white,,Japan,91,1,11,2,-0.48,0.0
2011,white,,Vanuatu,203,6,21,8,-0.37,0.0
2011,white,,Latvia,109,2,13,3,-0.33,0.0
2011,white,,Iran,134,4,15,4,-0.01,0.0
2011,grey,,Kazakhstan,42,0,6,0,0.04,0.5
2011,grey,,United States,174,7,18,6,0.07,0.5
2011,grey,,Saudi Arabia,59,1,8,0,0.08,0.5
2011,grey,,Malaysia,57,1,8,0,0.09,0.5
2011,grey,,Thailand,77,2,10,1,0.09,0.5
2011,grey,,Switzerland,96,3,11,2,0.1,0.5
2011,grey,,India,129,5,14,4,0.12,0.5
2011,grey,,Bulgaria,141,7,15,4,0.24,0.5
2011,grey,,Belize,644,40,56,34,0.27,0.5
2011,grey,,Morocco,131,7,14,4,0.3,0.5
2011,grey,,Curacao,490,32,44,25,0.38,0.5
2011,grey,,Tuvalu,39,2,6,0,0.38,0.5
2011,grey,,Tunisia,53,3,7,0,0.4,0.5
2011,grey,,Slovakia,140,9,15,4,0.43,0.5
2011,grey,,Algeria,85,6,10,2,0.51,0.5
2011,grey,,Egypt,105,9,12,3,0.67,0.5
2011,grey,,Vietnam,38,4,6,0,0.72,0.5
2011,grey,,Cook Islands,160,14,17,5,0.74,0.5
2011,grey,,Jamaica,36,5,6,0,0.91,0.5
2011,grey,,St. Vincent and Grenadines,1586,126,128,94,0.94,0.5
2011,black,,Honduras,59,8,8,,1.06,1.0
2011,black,,Dominica,144,16,16,,1.07,1.0
2011,black,,Syria,166,19,18,,1.25,1.0
2011,black,,Lebanon,74,10,9,,1.25,1.0
2011,black,,Azerbaijan,34,6,5,,1.46,1.0
2011,black,,Ukraine,372,42,35,,1.59,1.0
2011,black,,Georgia,647,72,56,,1.73,1.0
2011,black,,Cambodia,768,91,66,,2.0,1.0
2011,black,,Comoros,593,76,52,,2.22,1.0
2011,black,,St. Kitts and Nevis,416,60,38,,2.57,1.0
2011,black,,Moldova,590,88,52,,2.86,1.0
2011,black,,Albania,175,32,18,,3.24,1.0
2011,black,,Tanzania,130,25,14,,3.29,1.0
2011,black,,Sierra Leone,476,85,43,,3.69,1.0
2011,black,,Togo,205,42,21,,4.01,1.0
2011,black,,Bolivia,46,12,7,,4.03,1.0
2011,black,,Libya,46,14,7,,5.24,1.0
2012,white,1,France,306,0,29,14,-1.95,0.0
