Loading trend data…
Running walk-forward validation on 205 flags…

Flag                           Rounds        MAE      MAPE%
-----------------------------------------------------------
Austria                            10   0.282545      100.0
China, Macao SAR                   10   0.196027        N/A
Monaco                             10   0.174005      100.0
Anguilla                           10   0.156044      100.0
Falkland Islands (Malvinas)        10   0.103455      100.0
Greenland                          10   0.073638       66.6
Nauru                               2   0.051404        5.3
Nicaragua                          10   0.050986      100.0
Mauritania                         10   0.036663      100.0
Ethiopia                           10   0.035937       89.1
Lithuania                          10   0.033083      145.7
Madagascar                         10   0.029052       68.7
Ireland                            10   0.027203       77.6
Georgia                            10   0.021348      100.0
Argentina                          10   0.020182      119.1
Kenya                              10   0.019602        N/A
Namibia                            10   0.017886      100.0
British Virgin Islands             10   0.017719       66.2
Belgium                            10   0.015748       90.9
Sao Tome and Principe              10   0.015614       88.7
Mozambique                         10   0.015526       76.7
Seychelles                         10   0.015381      100.0
Senegal                            10   0.014790      100.0
Uruguay                            10   0.014258       84.7
Estonia                            10   0.014239       73.1
Cabo Verde                         10   0.013979        N/A
Croatia                            10   0.013830      234.6
Palau                               8   0.011938      262.1
Switzerland                        10   0.011655       88.6
Iceland                            10   0.011653       95.3
Cameroon                           10   0.010832       47.7
Ecuador                            10   0.010711       97.8
Faroe Islands                      10   0.010680       33.6
Latvia                             10   0.010245       94.4
Iraq                               10   0.010204       97.1
New Zealand                        10   0.010123       75.2
Mauritius                          10   0.009857       92.5
Guinea-Bissau                      10   0.009296       70.8
Tunisia                            10   0.009147       79.2
France                             10   0.009031       48.2
Israel                             10   0.008990      100.0
Vanuatu                            10   0.008973      132.2
Myanmar                            10   0.008655       61.8
Portugal                           10   0.008635       81.0
Dominica                           10   0.008374       73.2
Syrian Arab Republic               10   0.008342      100.0
South Africa                       10   0.008214       90.6
Albania                            10   0.008083       69.3
Gibraltar                          10   0.007977       76.1
Oman                               10   0.007951       80.9
Barbados                           10   0.007895       60.8
Niue                                4   0.007892       73.7
Lebanon                            10   0.007747       70.5
Sri Lanka                          10   0.007596       83.8
Gabon                              10   0.007161       93.0
Dem. Rep. of the Congo              9   0.007125        N/A
Bermuda                            10   0.007061       47.9
Comoros                            10   0.007035       74.8
Spain                              10   0.006954       47.1
Dem. People's Rep. of Korea        10   0.006852       73.1
Sweden                             10   0.006749      178.9
Fiji                               10   0.006672       23.5
Togo                               10   0.006662      150.8
Peru                               10   0.006376       91.8
China, Taiwan Province of          10   0.006318       89.0
Poland                             10   0.005789       98.2
Solomon Islands                    10   0.005537      100.0
Trinidad and Tobago                10   0.005449       72.5
Cook Islands                       10   0.005316       87.8
Jordan                             10   0.005257      100.0
Kuwait                             10   0.005153       96.6
Bulgaria                           10   0.005086       90.3
Kiribati                           10   0.005018       87.5
